Alpha,Accuracy,Precision,Recall,F1 Score
0.0,0.48620863172743056,0.48620863172743056,1.0,0.5101647890953285
0.05,0.9106119113498263,0.7283145251062346,0.8696269144851169,0.6342675358647185
0.1,0.9125959608289931,0.7832091352860985,0.8132808075705169,0.6345280274281174
0.15000000000000002,0.9288274468315971,0.8913546955275945,0.8128354395113783,0.7345588933601818
0.2,0.935323554144965,0.8501749023291115,0.8791040977874286,0.771835224793995
0.25,0.9112244330512153,0.9053243204084326,0.8091337380152237,0.755615067292548
0.30000000000000004,0.8954812961154514,0.9441953581576739,0.8442237544165636,0.8218402991743795
0.35000000000000003,0.9210527886284723,0.9401992586476431,0.8638079805004615,0.8387416105866502
0.4,0.8999418131510417,0.9077921257909878,0.7295781373924917,0.6763067803985295
0.45,0.9225343831380208,0.9336299673064147,0.7994372893088101,0.7598025920578191
0.5,0.8959874131944444,0.9674461778377982,0.7684508202363449,0.7676710533429086
0.55,0.9189574517144098,0.9710551180257306,0.735234310409622,0.740736485298633
0.6000000000000001,0.9352155219184028,0.974305893230803,0.6955137985007922,0.7015087537228452
0.65,0.9317938910590278,0.9774126916792926,0.7671107736039076,0.7681854101321646
0.7000000000000001,0.8401302761501735,0.9725864408804903,0.6334933392242205,0.6363475924683771
0.75,0.886998494466146,0.9690223497914936,0.6635324979131926,0.6612481570194566
0.8,0.889933064778646,0.9714679894047843,0.7356406370996836,0.7444683931286269
0.8500000000000001,0.86179694281684,0.9659308729179485,0.7249240128057116,0.7290738793746181
0.9,0.8929144965277778,0.9623108169344333,0.6731550179635264,0.6653002003147094
0.9500000000000001,0.854944118923611,0.9884988379142716,0.6000287178447125,0.6297942169648689
